Lab Session,Professor,Lab Topic,Date
1,Kelvin Fong Xuanyao,"CMOS Devices & 
Neural Networks","January 25, 2025"
2,Hyunsoo Yang,Magnetic Devices,"February 15, 2025"
3,Gong Xiao,Ferroelectric Devices,"March 8, 2025"
4,Kelvin Fong Xuanyao,"STCO & 
Neuromorphic Computing","March 31, 2025"
